,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
332.5,420183,282506,216799,306496,59925,,61299200
333.5,419536,272864,200044,297481,64546,,59496200
334.5,418835,263465,184136,288812,68927,,57762400
335.5,418075,254308,169075,280486,73062,,56097200
336.5,417252,245394,154856,272501,76950,,54500200
337.5,416359,236721,141473,264851,80590,,52970200
338.5,415392,228288,128912,257530,83982,,51506000
339.5,414344,220093,117159,250532,87129,,50106400
340.5,413210,212134,106195,243847,90035,,48769400
341.5,411985,204409,95998,237464,92703,,47492800
342.5,410664,196916,86544,231375,95138,,46275000
343.5,409240,189651,77805,225565,97348,,45113000
344.5,407709,182611,69753,220024,99337,,44004800
345.5,406065,175794,62357,214738,101113,,42947600
346.5,404303,169194,55585,209694,102683,,41938800
347.5,402418,162809,49405,204877,104054,,40975400
348.5,400404,156634,43783,200274,105234,,40054800
349.5,398257,150666,38686,195870,106231,,39174000
350.5,395971,144900,34080,191650,107052,,38330000
351.5,393543,139332,29931,187602,107705,,37520400
352.5,390968,133957,26206,183710,108196,,36742000
353.5,388241,128772,22874,179962,108534,,35992400
354.5,385359,123770,19903,176344,108724,,35268800
355.5,382318,118948,17263,172843,108773,,34568600
356.5,379114,114302,14926,169447,108688,,33889400
357.5,375746,109825,12863,166145,108474,,33229000
358.5,372209,105515,11049,162924,108137,,32584800
359.5,368502,101365,9460,159776,107683,,31955200
360.5,364623,97372,8073,156689,107115,,31337800
361.5,360572,93531,6866,153656,106440,,30731200
362.5,356346,89836,5819,150667,105661,,30133400
363.5,351945,86285,4916,147715,104782,,29543000
364.5,347371,82872,4138,144794,103807,,28958800
365.5,342623,79592,3471,141896,102741,,28379200
366.5,337704,76442,2902,139016,101587,,27803200
367.5,332614,73417,2417,136149,100348,,27229800
368.5,327357,70513,2006,133292,99027,,26658400
369.5,321936,67725,1659,130440,97629,,26088000
370.5,316355,65050,1367,127591,96156,,25518200
371.5,310618,62484,1123,124742,94611,,24948400
372.5,304730,60023,918,121890,92998,,24378000
373.5,298697,57663,749,119036,91321,,23807200
374.5,292526,55400,608,116178,89582,,23235600
375.5,286224,53231,492,113316,87785,,22663200
376.5,279798,51152,396,110449,85933,,22089800
377.5,273257,49160,318,107579,84031,,21515800
378.5,266610,47252,254,104705,82081,,20941000
379.5,259866,45424,203,101831,80089,,20366200
380.5,253034,43673,161,98956,78056,,19791200
381.5,246126,41996,127,96083,75989,,19216600
382.5,239153,40391,100,93214,73890,,18642800
383.5,232124,38853,78,90352,71764,,18070400
