,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
380.5,17358,46962,96399,53573,23055,,10714600
381.5,16894,47067,94194,52718,22493,,10543600
382.5,16443,47159,91957,51853,21925,,10370600
383.5,16006,47237,89691,50978,21353,,10195600
384.5,15580,47301,87397,50093,20779,,10018600
385.5,15167,47350,85078,49199,20203,,9839800
386.5,14766,47383,82737,48295,19627,,9659000
387.5,14377,47399,80376,47384,19052,,9476800
388.5,13999,47397,77999,46465,18481,,9293000
389.5,13632,47376,75608,45538,17914,,9107600
390.5,13275,47336,73206,44606,17354,,8921200
391.5,12930,47277,70798,43668,16802,,8733600
392.5,12594,47196,68386,42725,16260,,8545000
393.5,12269,47094,65975,41779,15730,,8355800
394.5,11953,46970,63568,40830,15213,,8166000
395.5,11647,46823,61169,39880,14711,,7976000
396.5,11351,46653,58782,38928,14226,,7785600
397.5,11063,46460,56410,37978,13760,,7595600
398.5,10784,46243,54058,37028,13315,,7405600
399.5,10514,46001,51730,36082,12890,,7216400
400.5,10253,45735,49429,35139,12489,,7027800
401.5,9999,45445,47160,34201,12111,,6840200
402.5,9754,45129,44925,33270,11758,,6654000
403.5,9517,44789,42729,32345,11430,,6469000
404.5,9287,44423,40576,31429,11126,,6285800
405.5,9065,44033,38467,30522,10848,,6104400
406.5,8850,43618,36407,29625,10594,,5925000
407.5,8642,43179,34399,28740,10364,,5748000
408.5,8440,42715,32445,27867,10155,,5573400
409.5,8246,42227,30548,27007,9968,,5401400
410.5,8058,41716,28709,26161,9799,,5232200
411.5,7877,41182,26932,25330,9648,,5066000
412.5,7702,40625,25217,24515,9511,,4903000
413.5,7533,40047,23567,23716,9386,,4743200
414.5,7370,39448,21982,22933,9272,,4586600
415.5,7212,38828,20463,22168,9166,,4433600
416.5,7060,38189,19011,21420,9066,,4284000
417.5,6914,37531,17625,20690,8970,,4138000
418.5,6773,36856,16307,19979,8876,,3995800
419.5,6637,36164,15056,19286,8782,,3857200
420.5,6507,35457,13871,18612,8687,,3722400
421.5,6381,34735,12752,17956,8589,,3591200
422.5,6260,33999,11697,17319,8487,,3463800
423.5,6143,33252,10706,16700,8380,,3340000
424.5,6032,32493,9776,16100,8267,,3220000
425.5,5924,31725,8907,15519,8149,,3103800
426.5,5821,30948,8096,14955,8023,,2991000
427.5,5722,30164,7342,14409,7891,,2881800
428.5,5627,29374,6642,13881,7752,,2776200
429.5,5537,28579,5995,13370,7606,,2674000
430.5,5450,27781,5397,12876,7452,,2575200
431.5,5367,26980,4847,12398,7293,,2479600
432.5,5287,26179,4342,11936,7127,,2387200
433.5,5212,25379,3880,11490,6955,,2298000
434.5,5139,24580,3458,11059,6778,,2211800
435.5,5071,23784,3074,10643,6596,,2128600
436.5,5005,22992,2726,10241,6409,,2048200
437.5,4943,22205,2411,9853,6219,,1970600
438.5,4884,21425,2126,9478,6026,,1895600
439.5,4828,20652,1870,9117,5831,,1823400
440.5,4776,19888,1641,8768,5633,,1753600
441.5,4726,19134,1435,8432,5435,,1686400
442.5,4679,18390,1252,8107,5236,,1621400
443.5,4636,17657,1089,7794,5037,,1558800
444.5,4595,16937,945,7492,4839,,1498400
445.5,4556,16230,818,7201,4642,,1440200
446.5,4521,15537,705,6921,4447,,1384200
447.5,4488,14859,607,6651,4254,,1330200
448.5,4458,14196,520,6391,4064,,1278200
449.5,4430,13548,445,6141,3878,,1228200
450.5,4405,12917,379,5900,3696,,1180000
451.5,4383,12302,322,5669,3517,,1133800
452.5,4363,11704,273,5447,3344,,1089400
453.5,4345,11124,231,5234,3176,,1046800
454.5,4330,10562,195,5029,3013,,1005800
455.5,4317,10017,163,4833,2856,,966600
456.5,4307,9491,137,4645,2706,,929000
457.5,4299,8982,114,4465,2561,,893000
458.5,4293,8492,95,4293,2424,,858600
459.5,4290,8020,79,4129,2294,,825800
460.5,4288,7566,65,3973,2171,,794600
461.5,4289,7130,54,3824,2056,,764800
462.5,4293,6712,44,3683,1949,,736600
463.5,4298,6311,36,3549,1850,,709800
464.5,4306,5928,30,3421,1759,,684200
465.5,4316,5562,24,3301,1677,,660200
