"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CTSZ",337.780642648548,-0.490774510150052,0.144031728968065,0.00017825742276347,0.0017181176258262
"CTTN",1730.60803842039,0.31351921766651,0.0663697261729769,1.2678216862224e-06,2.07936612515186e-05
"CTTNBP2NL",391.788476621882,-0.0521274894903822,0.121378084731597,0.639502830716942,0.826877858806568
"CTU1",59.2762586682217,0.0971977702099444,0.221194864380049,0.540849328671606,0.764844126967092
"CTU2",155.140672469073,-0.062573207560055,0.179079863206285,0.667369948551898,0.843548228415921
"CTXN1",34.2092630687822,-0.6031517270533,0.425632975603532,0.0165626052104688,0.0736023145968332
"CU633904.1",13.5350977036797,0.173766144176234,0.366369109371315,0.0790040439639373,0.235567988827103
"CU633906.1",34.9636135221524,-0.299403698274616,0.437055583193894,0.0766316373506212,0.230509316841205
"CU633906.2",18.5728511692852,0.0258587747072522,0.308089113116266,0.586989244138929,0.795749556169187
"CU633906.5",26.4737864983754,-0.585250265964691,0.54983846717799,0.0227571875657986,0.0935407049575292
"CU633967.1",292.337457277981,-0.266421091546527,0.213250143784868,0.104514988005264,0.285975934229933
"CU634019.5",65.4567839246538,-0.387624156955833,0.281583329397794,0.046133282323782,0.160482653646963
"CU634019.6",8.13094550336525,-0.255492116012711,0.439282034004953,0.0477060971312033,0.164580551643211
"CU638689.1",2.53761366353727,-0.0533903757220728,0.316398261393305,0.054687942432836,NA
"CU638689.4",72.9758710313094,-0.163321526097669,0.219759964781797,0.312264900351268,0.56823276242966
"CU638689.5",34.0236637330921,-0.0641539267291958,0.254271031057227,0.668087672812076,0.843856240306215
"CU639417.1",24.9289841189231,-0.0416926075541524,0.307004408893437,0.518917559212388,0.748932084160446
"CUBN",8.00115872585141,0.120203118783833,0.338095867917218,0.0397737000643715,0.143447228278304
"CUEDC1",259.511429738902,0.327241436523963,0.152918322193915,0.0150410768262453,0.0681937884989313
"CUEDC2",349.250924368808,0.116088394659449,0.125550992959073,0.311674096966951,0.567908350313628
"CUL1",658.419374456637,-0.101646324198704,0.0991446921287664,0.275741446594203,0.528201381775937
"CUL2",783.341301774862,0.131471575974185,0.0887172284149906,0.12137378684685,0.316005624429333
"CUL3",974.126229009275,-0.188815489867008,0.0977937590162545,0.0409936215982854,0.146718645200446
"CUL4A",1212.98797890212,-0.0991419116687088,0.0726987680062575,0.159939865785693,0.378435381775368
"CUL4B",636.313115553369,0.0323236300256452,0.0913644590872568,0.711874504045873,0.868554817874271
"CUL5",342.462859103754,0.523698382817145,0.245651640653462,0.00645079817818588,0.0351259536502306
"CUL7",246.43617484777,0.309634764372679,0.148830166556488,0.0186189288451289,0.0805312015833435
"CUL9",99.8480910242689,0.222001222946703,0.260381306630493,0.196742842949494,0.431654947974131
"CUTA",795.385187469453,0.0549972962756662,0.0885619636901554,0.51717022024374,0.747557984703121
